Num steps: 2445000   Return: 1510.3   Time: 3:02:55
Num steps: 2450000   Return: 1488.2   Time: 3:03:20
Num steps: 2455000   Return: 1468.1   Time: 3:03:41
Num steps: 2460000   Return: 1484.7   Time: 3:04:02
Num steps: 2465000   Return: 1498.8   Time: 3:04:24
Num steps: 2470000   Return: 1449.5   Time: 3:04:48
Num steps: 2475000   Return: 1545.3   Time: 3:05:12
Num steps: 2480000   Return: 1474.5   Time: 3:05:33
Num steps: 2485000   Return: 1554.3   Time: 3:05:54
Num steps: 2490000   Return: 1434.1   Time: 3:06:16
Num steps: 2495000   Return: 1456.9   Time: 3:06:37
Num steps: 2500000   Return: 1492.4   Time: 3:07:02
Num steps: 2505000   Return: 1406.1   Time: 3:07:24
Num steps: 2510000   Return: 1561.0   Time: 3:07:45
